,Course,SectionID,Name,TNUM,GR,School,Type,Year,GlimpsestudentId,DistrictID,ScantronMathPostTest,ScantronReadingPostTest
42,802104,802104.003,StuHall6-12,ST1021,7,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,45462.0,18,2570.0,2342.0
43,802104,802104.003,StuHall6-12,ST1021,7,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,45555.0,18,2331.0,2347.0
45,802104,802104.003,StuHall6-12,ST1021,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,50072.0,18,2250.0,0.0
46,802104,802104.003,StuHall6-12,ST1021,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,48982.0,18,2280.0,2153.0
48,802104,802104.001,StuHall6-12,ST1149,7,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,45341.0,18,2143.0,2292.0
49,802104,802104.001,StuHall6-12,ST1149,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,49667.0,18,2670.0,2548.0
50,802104,802104.001,StuHall6-12,ST1149,7,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,68567.0,18,2061.0,0.0
52,802104,802104.001,StuHall6-12,ST1149,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,96369.0,18,2422.0,2747.0
53,802104,802104.001,StuHall6-12,ST1149,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,96368.0,18,2502.0,2614.0
54,802104,802104.001,StuHall6-12,ST1149,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,48982.0,18,2280.0,2153.0
55,802104,802104.001,StuHall6-12,ST1149,8,MILLBROOK MIDDLE SCHOOL,ELECTIVE,2018,49007.0,18,2101.0,2002.0
228,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45197.0,18,2491.0,2241.0
229,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45277.0,18,2702.0,3283.0
230,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45223.0,18,2261.0,2544.0
231,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51244.0,18,2982.0,3176.0
232,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45235.0,18,2648.0,2944.0
233,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45216.0,18,2498.0,2679.0
235,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45156.0,18,2496.0,2600.0
236,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45261.0,18,2892.0,2999.0
237,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45236.0,18,2688.0,3103.0
238,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50840.0,18,2848.0,3124.0
239,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45234.0,18,2776.0,3100.0
240,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45283.0,18,2902.0,3290.0
